No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
629,3600AL,Initial,,,PALMHILLS-AL,ASBSCALS02,C1_3600AL_PH28,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-09-18 00:00:00,,,Bronze,Nokia,
630,0793AL,Initial,,,BKUP-ASFRA-EST,ASBSCALW01,C3_0793AL_PH15,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-09-23 00:00:00,,,Bronze,Nokia,
631,3467AL,Initial,,,BAKOS-BALAD-4,ASBSCALW01,C1_3467AL_PH26_0,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-09-25 00:00:00,,,Bronze,Nokia,
632,3559AL,Initial,,,ABIS8-VLG,ASBSCALW01,C1_3559AL_PH27,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-09-30 00:00:00,,,Bronze,Nokia,
633,3234AL,Initial,,,MOHARAM-BEK-7,ASBSCALS01,C2_3234AL_PH24,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-09-30 00:00:00,,,Bronze,Nokia,
634,3490AL,Initial,,,TOUSON-4,ASBSCALW01,C2_3490AL_PH26,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-10-15 00:00:00,,,Bronze,Nokia,
635,0794AL,Initial,,,LORAN-3,ASBSCALW01,C4_0794AL_PH15,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-10-16 00:00:00,,,Bronze,Nokia,
636,3597AL,Initial,,,BAB-AKHDAR-2,ASBSCALS01,C1_3597AL_PH28,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-10-16 00:00:00,,,Bronze,Nokia,
637,2626AL,Initial,,,M-BAWALENO ,SEMOUHA02,C1_2626AL_PH14,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
638,2597AL,Initial,,,M-BAKOUS-1,ASBSCALS02,C7_2597AL_PH13,Alex,Alex,GLEEM,Micro Site,Micro,2025-11-23 00:00:00,,,Bronze,Nokia,
